time,Africa,Middle East,Belgium,Japan,United Kingdom
1909,2.9945962e-10,1.680261e-10,2.1160043e-09,1.3231828e-10,6.086007e-10
1910,3.015159e-10,1.6027626e-10,1.8795687e-09,1.3238922e-10,6.265049e-10
1911,3.0934416e-10,1.7913925e-10,1.6917312e-09,1.5860703e-10,4.4067258e-10
1912,2.957407e-10,1.7374092e-10,1.8771051e-09,1.6819247e-10,4.4849788e-10
1913,2.9076155e-10,1.910091e-10,1.7560855e-09,1.677922e-10,4.4461534e-10
1914,3.0061983e-10,1.7903565e-10,1.6542311e-09,1.6782077e-10,4.5382811e-10
1915,3.0466557e-10,1.7257518e-10,1.6816938e-09,1.8121779e-10,4.266396e-10
1916,2.9312108e-10,1.6859378e-10,1.8045818e-09,1.8864671e-10,4.4243517e-10
1917,3.2532774e-10,1.9731503e-10,1.9067419e-09,1.9365581e-10,4.5813528e-10
1918,3.3362668e-10,2.1369732e-10,1.6619887e-09,1.9194814e-10,4.3959708e-10
1919,3.2766845e-10,1.915085e-10,1.6633612e-09,1.9986399e-10,4.212096e-10
1920,3.1585048e-10,1.9694246e-10,1.7290207e-09,2.107046e-10,4.7452164e-10
1921,3.4242426e-10,2.0111296e-10,1.9421715e-09,2.0597392e-10,4.86825e-10
1922,3.3070446e-10,1.9763509e-10,1.8659227e-09,2.2111127e-10,4.7416e-10
1923,3.319479e-10,1.8573171e-10,1.900028e-09,2.0461516e-10,5.026001e-10
1924,3.3442563e-10,1.8711871e-10,1.756345e-09,2.1662255e-10,4.659158e-10
1925,3.541156e-10,1.9601597e-10,1.9489936e-09,2.0866725e-10,4.704036e-10
1926,3.6400927e-10,2.240053e-10,1.7869881e-09,2.1675112e-10,4.814495e-10
1927,3.576115e-10,2.2045081e-10,1.9826456e-09,2.1891709e-10,4.6978793e-10
1928,3.692576e-10,2.1415031e-10,1.8754793e-09,2.32923e-10,4.7427534e-10
1929,3.5986095e-10,2.0620908e-10,1.8371252e-09,2.4806837e-10,4.58819e-10
1930,3.538492e-10,2.0271461e-10,1.7919933e-09,2.36579e-10,4.201952e-10
1931,4.0281137e-10,2.411907e-10,1.8005439e-09,1.9192058e-10,4.3724557e-10
1932,3.7195677e-10,2.2522678e-10,1.7825234e-09,1.8448443e-10,4.464776e-10
1933,4.2204848e-10,2.4460756e-10,1.7778592e-09,1.8140169e-10,4.2536272e-10
1934,4.2526946e-10,2.5800817e-10,1.87539e-09,1.9204469e-10,4.647951e-10
1935,4.0521717e-10,2.5292882e-10,1.799397e-09,1.9316353e-10,4.5085854e-10
1936,4.1794282e-10,2.4314453e-10,1.6843822e-09,1.9775316e-10,4.6432916e-10
1937,4.3255344e-10,2.7093e-10,1.6312529e-09,1.9582913e-10,4.211954e-10
1938,4.3814424e-10,2.7716274e-10,1.6064129e-09,1.8646812e-10,4.4559204e-10
1939,4.2122744e-10,2.6490948e-10,1.7026649e-09,1.888595e-10,4.089139e-10
1940,4.2166362e-10,2.5192867e-10,1.6440627e-09,1.873329e-10,4.3994483e-10
1941,5.273786e-10,2.4307528e-10,1.8977664e-09,1.8706364e-10,4.7211174e-10
1942,5.378738e-10,2.4916502e-10,1.6847608e-09,1.8678362e-10,4.758968e-10
1943,5.7705835e-10,2.8213282e-10,1.8564903e-09,1.8118464e-10,4.7039156e-10
1944,5.777804e-10,2.8129338e-10,1.7052361e-09,2.0036856e-10,4.744745e-10
1945,5.5375554e-10,2.5892546e-10,1.5567463e-09,1.8568141e-10,4.0891415e-10
1946,5.994224e-10,2.7247324e-10,1.7454815e-09,2.0697256e-10,4.853191e-10
1947,6.005604e-10,2.820981e-10,1.7911918e-09,1.935617e-10,4.905013e-10
1948,6.0463634e-10,2.7435543e-10,1.6721127e-09,1.9385787e-10,4.7692356e-10
1949,6.3806105e-10,2.8208952e-10,1.7397669e-09,2.0310977e-10,4.5054674e-10
1950,6.778685e-10,3.2531514e-10,1.7526661e-09,1.947638e-10,4.81902e-10
1951,6.4024075e-10,3.5688613e-10,2.0525623e-09,1.8469053e-10,5.2878424e-10
1952,6.5542083e-10,3.504524e-10,2.4386024e-09,1.9570802e-10,6.236582e-10
1953,6.627172e-10,3.6491535e-10,2.3306006e-09,1.9729214e-10,6.161511e-10
1954,6.7763867e-10,3.8767367e-10,2.53299e-09,2.1316572e-10,6.46106e-10
1955,7.0253015e-10,3.9022238e-10,1.8966881e-09,2.1835818e-10,6.3602884e-10
1956,7.0250616e-10,3.8269524e-10,2.960326e-09,2.1760206e-10,7.193843e-10
1957,7.0843614e-10,4.0656248e-10,2.996163e-09,2.1693068e-10,7.4287365e-10
1958,7.547511e-10,4.3713935e-10,3.009057e-09,2.1931129e-10,7.217622e-10
1959,7.2617407e-10,3.9777817e-10,3.0333753e-09,2.4365876e-10,7.605702e-10
1960,7.4632356e-10,4.0872095e-10,2.5893208e-09,2.3391705e-10,7.313051e-10
1961,6.183513e-10,3.375413e-10,2.9006388e-09,2.292405e-10,7.9587464e-10
1962,6.3507244e-10,3.7724776e-10,2.7971503e-09,2.3224898e-10,6.7727046e-10
1963,6.014009e-10,3.428735e-10,2.968732e-09,2.5060595e-10,8.1449225e-10
1964,6.2975064e-10,3.9571646e-10,3.1335425e-09,2.5014224e-10,7.316756e-10
1965,6.1840366e-10,3.6297407e-10,3.0718732e-09,2.5251307e-10,8.6475105e-10
1966,6.1263206e-10,3.6137887e-10,3.163022e-09,2.5390157e-10,7.626494e-10
1967,6.128087e-10,3.3720726e-10,3.170105e-09,2.5036206e-10,8.143969e-10
1968,6.123267e-10,3.5943273e-10,3.059248e-09,2.555421e-10,8.419018e-10
1969,5.957747e-10,3.9144155e-10,2.8603644e-09,2.6241323e-10,7.3763634e-10
1970,6.402846e-10,4.0627154e-10,2.5031588e-09,2.618391e-10,7.8335444e-10
1971,6.1886646e-10,3.575847e-10,2.848972e-09,2.7253538e-10,7.3345136e-10
1972,6.064867e-10,3.9395967e-10,3.2044694e-09,2.9693503e-10,8.511417e-10
1973,6.408176e-10,4.1289136e-10,2.8272895e-09,3.0983024e-10,8.1244766e-10
1974,6.0407745e-10,4.4447934e-10,2.4829037e-09,3.0347505e-10,6.5715267e-10
1975,6.2235583e-10,3.977174e-10,3.0508027e-09,3.0291264e-10,8.413875e-10
1976,5.7456745e-10,3.7117434e-10,2.9089933e-09,3.2061465e-10,8.483764e-10
1977,6.6314815e-10,4.6381846e-10,2.9657983e-09,3.230403e-10,8.1840856e-10
1978,6.152304e-10,4.4564835e-10,2.4141482e-09,3.2093314e-10,7.069395e-10
1979,6.603992e-10,4.2599477e-10,2.9857203e-09,3.5511916e-10,8.562657e-10
1980,5.945979e-10,4.4757187e-10,2.8872877e-09,3.609206e-10,8.3430424e-10
1981,6.5455485e-10,5.2653265e-10,3.1931078e-09,3.6489653e-10,9.136183e-10
1982,6.194009e-10,4.9542503e-10,3.1442224e-09,3.6182357e-10,8.799826e-10
1983,6.63267e-10,4.629233e-10,3.1539544e-09,3.611258e-10,8.7175783e-10
1984,6.217694e-10,4.7748294e-10,3.0799578e-09,3.6397488e-10,8.5736757e-10
1985,6.5881495e-10,4.8707866e-10,2.8092861e-09,3.654532e-10,7.3466633e-10
1986,6.5003286e-10,5.05997e-10,2.947895e-09,3.6358222e-10,8.3738466e-10
1987,6.60302e-10,5.0228477e-10,2.5024498e-09,3.6020797e-10,6.879939e-10
1988,6.4204786e-10,5.140835e-10,2.9578713e-09,4.184823e-10,8.666199e-10
1989,6.665223e-10,5.773719e-10,3.0227005e-09,3.783477e-10,8.295997e-10
1990,6.403826e-10,5.439749e-10,3.2732925e-09,3.9959946e-10,9.007204e-10
1991,6.844407e-10,5.095823e-10,3.0914273e-09,3.650217e-10,8.294711e-10
1992,6.854396e-10,5.4236904e-10,2.6237248e-09,3.5584427e-10,7.8842327e-10
1993,7.03449e-10,5.496656e-10,3.5610301e-09,3.52236e-10,9.802725e-10
1994,6.919539e-10,5.5960825e-10,2.6468738e-09,3.6998335e-10,8.39655e-10
1995,6.9807543e-10,5.745899e-10,3.183442e-09,3.4280234e-10,7.6322787e-10
1996,7.0061545e-10,6.073297e-10,2.6918616e-09,3.7139156e-10,6.6767997e-10
1997,6.831433e-10,5.933378e-10,3.4948355e-09,3.7232606e-10,8.6535534e-10
1998,6.836324e-10,6.0876143e-10,3.4102956e-09,3.529256e-10,8.549522e-10
1999,6.8732675e-10,5.888119e-10,3.1839218e-09,3.4620903e-10,7.757894e-10
2000,6.7325995e-10,5.64091e-10,3.6470054e-09,3.6019132e-10,8.511305e-10
2001,7.025083e-10,6.133896e-10,3.5694931e-09,7.807049e-10,8.3376883e-10
2002,6.98534e-10,6.446914e-10,3.242093e-09,4.1139356e-10,8.0763674e-10
2003,7.436137e-10,6.589296e-10,3.2469856e-09,4.0669493e-10,7.466831e-10
2004,7.588975e-10,8.079496e-10,4.188397e-09,5.571553e-10,8.796881e-10
2005,7.1655937e-10,6.4269506e-10,3.545456e-09,4.028443e-10,8.52961e-10
2006,6.9388484e-10,5.693087e-10,2.4354998e-09,3.9876766e-10,1.2190854e-09
2007,7.4067663e-10,6.386595e-10,3.490558e-09,3.858127e-10,8.7288193e-10
2008,7.905392e-10,8.000561e-10,3.7562597e-09,3.7907438e-10,9.650493e-10
2009,7.5333234e-10,6.2870775e-10,3.4109557e-09,3.7492418e-10,8.963141e-10
2010,7.758496e-10,6.152387e-10,3.6098124e-09,3.892863e-10,9.574598e-10
2011,7.577006e-10,6.043319e-10,2.8793579e-09,3.8791334e-10,8.61955e-10
2012,8.610195e-10,7.878675e-10,3.3995124e-09,3.9742323e-10,9.957073e-10
2013,8.4799995e-10,6.7228395e-10,3.4740901e-09,3.8300774e-10,9.2002084e-10
2014,8.4320395e-10,6.474365e-10,3.1816259e-09,3.8303713e-10,9.430006e-10
